id,formattedAddress,city,state,zipCode,county,latitude,longitude,propertyType,bedrooms,bathrooms,squareFootage,lotSize,yearBuilt,subdivision,zoning,lastSaleDate,lastSalePrice,hoa,architectureType,cooling,coolingType,heating,heatingType,exteriorType,fireplace,floorCount,foundationType,garage,garageSpaces,garageType,pool,roomCount,unitCount,viewType
"13267-Sw-43rd-Ln,-Miami,-FL-33175","13267 Sw 43rd Ln, Miami, FL 33175",Miami,FL,33175,Miami-Dade,25.727593,-80.409229,Single Family,3.0,2.0,1602.0,7500.0,1980.0,SAN SEBASTIAN UNIT NO 5,"0100:SINGLE FAM,GENERAL",2024-06-21T00:00:00.000Z,640000,,,False,,False,,Concrete Block,False,1.0,,True,,Garage,False,,1.0,
"3925-Omega-Ln,-Sarasota,-FL-34235","3925 Omega Ln, Sarasota, FL 34235",Sarasota,FL,34235,Sarasota,27.361288,-82.491334,Single Family,2.0,1.0,913.0,8250.0,1961.0,KENSINGTON PARK UNIT 5,RSF3,2024-06-21T00:00:00.000Z,295000,,,True,Commercial,True,Forced Air,Stucco,False,1.0,Slab,True,,Carport,False,4.0,1.0,
"7415-Kylan-Dr-W,-Jacksonville,-FL-32209","7415 Kylan Dr W, Jacksonville, FL 32209",Jacksonville,FL,32209,Duval,30.389551,-81.729329,Single Family,3.0,1.0,985.0,7486.0,1964.0,WASHINGTON EST UNIT 03,RLD-60,2024-06-21T00:00:00.000Z,155000,,,True,Central,True,Forced Air,Concrete Block,False,1.0,,True,,Carport,False,,1.0,
"7125-Nw-186th-St,-Apt-B205,-Hialeah,-FL-33015","7125 Nw 186th St, Apt B205, Hialeah, FL 33015",Hialeah,FL,33015,Miami-Dade,25.94159,-80.31726,Condo,2.0,2.0,960.0,,1986.0,LAS BRISAS @ COUNTRY CLUB OF MIAMI,5000:HOTELS&MOTELS-GEN,2024-06-21T00:00:00.000Z,260000,,Condo / Apartment,False,,False,,,False,,,False,,,False,,1.0,
"13110-White-Marsh-Ln,-Apt-200,-Fort-Myers,-FL-33912","13110 White Marsh Ln, Apt 200, Fort Myers, FL 33912",Fort Myers,FL,33912,Lee,26.550431,-81.828545,Condo,2.0,2.0,1008.0,5748.0,1986.0,DANIELS CROSS CREEK,,2024-06-21T00:00:00.000Z,208000,,Condo / Apartment,False,,False,,,False,2.0,,True,2.0,Garage,False,,1.0,Golf Course
"2141-Sw-51st-Ct,-Fort-Lauderdale,-FL-33312","2141 Sw 51st Ct, Fort Lauderdale, FL 33312",Fort Lauderdale,FL,33312,Broward,26.05877,-80.169295,Manufactured,3.0,2.0,1464.0,3205.0,1978.0,RAVENSWOOD GARDENS 89-43 B,RMH,2024-06-21T00:00:00.000Z,289000,,Mobile Home,False,,False,,,False,1.0,,False,,,False,,1.0,
"3950-Sw-48th-Ave,-Hollywood,-FL-33023","3950 Sw 48th Ave, Hollywood, FL 33023",Hollywood,FL,33023,Broward,25.975163,-80.191182,Single Family,2.0,2.0,950.0,1341.0,2006.0,HOLLYWOOD RIDGE FARMS 2-16 MISC,RM-16,2024-06-21T00:00:00.000Z,300000,,,True,Central,False,,Stucco,False,1.0,Slab / Mat / Raft,False,,,False,,1.0,
"1135-Fairmont-St,-Clearwater,-FL-33755","1135 Fairmont St, Clearwater, FL 33755",Clearwater,FL,33755,Pinellas,27.982537,-82.790112,Single Family,3.0,1.0,1269.0,10006.0,1951.0,FAIRMONT SUB,,2024-06-21T00:00:00.000Z,319500,,,True,Central,True,Central,Stucco,False,1.0,Footing,True,2.0,Carport,False,,1.0,
"48-Rivers-Edge-Ln,-Palm-Coast,-FL-32137","48 Rivers Edge Ln, Palm Coast, FL 32137",Palm Coast,FL,32137,Flagler,29.578608,-81.193197,Condo,2.0,2.0,1565.0,1333.0,1989.0,MARINA COVE,,2024-06-21T00:00:00.000Z,399000,,Condo / Apartment,True,Commercial,True,,,False,1.0,,False,,,False,3.0,1.0,Average
"388-Oxen-Hill-Ct,-Royal-Palm-Beach,-FL-33411","388 Oxen Hill Ct, Royal Palm Beach, FL 33411",Royal Palm Beach,FL,33411,Palm Beach,26.704196,-80.234276,Single Family,2.0,2.0,1120.0,2487.0,1982.0,STRATHMORE GATE WEST,,2024-06-21T00:00:00.000Z,265000,,Condo / Apartment,False,,False,,,False,,,False,,,False,,1.0,
"8361-Century-Point-Dr-N,-Jacksonville,-FL-32216","8361 Century Point Dr N, Jacksonville, FL 32216",Jacksonville,FL,32216,Duval,30.306613,-81.568331,Single Family,2.0,2.0,1095.0,2404.0,1987.0,CENTURY POINT TOWNHOMES,PUD,2024-06-21T00:00:00.000Z,216000,,,True,Central,True,Forced Air,Stucco,False,2.0,,False,,,False,,1.0,
"119-Sw-1st-St,-Boynton-Beach,-FL-33435","119 Sw 1st St, Boynton Beach, FL 33435",Boynton Beach,FL,33435,Palm Beach,26.526486,-80.066028,Single Family,2.0,1.0,1044.0,6530.0,1981.0,BOYNTON HGTS ADD REV PL IN,R2,2024-06-21T00:00:00.000Z,407000,,,True,Commercial,True,Forced Air,Brick Veneer,False,1.0,,True,,Garage,False,,1.0,
"5002-Sw-86th-St,-Miami,-FL-33143","5002 Sw 86th St, Miami, FL 33143",Miami,FL,33143,Miami-Dade,25.691169,-80.274847,Single Family,6.0,7.5,5908.0,34456.0,2002.0,KINGSLEYS SUB,"2300:ESTATES,1 ACRE",2024-06-21T00:00:00.000Z,6400000,,,False,,False,,Concrete Block,False,2.0,,False,,,True,,1.0,
"7416-Sw-49th-Pl,-Miami,-FL-33143","7416 Sw 49th Pl, Miami, FL 33143",Miami,FL,33143,Miami-Dade,25.702807,-80.274752,Single Family,6.0,6.0,5671.0,32496.0,2000.0,STONEGATE,"2300:ESTATES,1 ACRE",2024-06-21T00:00:00.000Z,8258400,,,False,,False,,Stucco,False,2.0,,True,,Garage,True,,1.0,
"110-Carolina-Ave,-Fort-Lauderdale,-FL-33312","110 Carolina Ave, Fort Lauderdale, FL 33312",Fort Lauderdale,FL,33312,Broward,26.119999,-80.186833,Single Family,3.0,2.0,1417.0,8755.0,1950.0,MELROSE PARK SECT 1 27-6 B,RS-6.7,2024-06-21T00:00:00.000Z,444900,,,True,Central,False,,Stucco,False,1.0,Slab / Mat / Raft,False,,,False,,1.0,
"421-Sw-11th-Ave,-Hallandale-Beach,-FL-33009","421 Sw 11th Ave, Hallandale Beach, FL 33009",Hallandale Beach,FL,33009,Broward,25.979923,-80.164496,Single Family,2.0,1.0,1162.0,6604.0,1962.0,OAK ACRES 46-39 B,RD-12,2024-06-21T00:00:00.000Z,350000,,,True,Central,False,,Stucco,False,1.0,Slab / Mat / Raft,False,,,False,,1.0,
"518-Nantucket-Dr,-Temple-Terrace,-FL-33617","518 Nantucket Dr, Temple Terrace, FL 33617",Temple Terrace,FL,33617,Hillsborough,28.04586,-82.380981,Single Family,4.0,2.0,2113.0,12800.0,1972.0,COLONIAL GROVE,R-10,2024-06-21T00:00:00.000Z,405000,,Ranch,True,Central,True,Central,Stucco,False,1.0,,True,2.0,Garage,False,,1.0,
"17310-Emerald-Chase-Dr,-Tampa,-FL-33647","17310 Emerald Chase Dr, Tampa, FL 33647",Tampa,FL,33647,Hillsborough,28.125339,-82.389281,Single Family,4.0,3.0,3801.0,8594.0,2003.0,TAMPA TECH PARK WEST PAR 23 PH 3 & 4,PD-A,2024-06-21T00:00:00.000Z,640000,,Contemporary,True,Central,True,Central,Stucco,False,2.0,,True,2.0,Garage,False,,1.0,
"16313-Ashington-Park-Dr,-Tampa,-FL-33647","16313 Ashington Park Dr, Tampa, FL 33647",Tampa,FL,33647,Hillsborough,28.116164,-82.391836,Single Family,4.0,3.0,2583.0,10839.0,1999.0,TAMPA PALMS AREA 4 PARCEL 21 REPLAT,PD-A,2024-06-21T00:00:00.000Z,515000,,Contemporary,True,Central,True,Central,Stucco,True,1.0,,True,2.0,Garage,True,,1.0,
"10448-Lucaya-Dr,-Tampa,-FL-33647","10448 Lucaya Dr, Tampa, FL 33647",Tampa,FL,33647,Hillsborough,28.154538,-82.310456,Single Family,3.0,2.0,1620.0,6226.0,2003.0,HERITAGE ISLES PHASE 3D,PD-A,2024-06-21T00:00:00.000Z,344000,,Contemporary,True,Central,True,Central,Stucco,False,1.0,,True,2.0,Garage,False,,1.0,
"201-W-Mohawk-Ave,-Tampa,-FL-33604","201 W Mohawk Ave, Tampa, FL 33604",Tampa,FL,33604,Hillsborough,27.997214,-82.461655,Single Family,4.0,3.0,2440.0,8184.0,1926.0,WEST SUWANEE HEIGHTS,SH-RS,2024-06-21T00:00:00.000Z,810000,,Historical,True,Central,True,Central,Other,True,2.0,,True,,Garage,False,,1.0,
"108-W-Hanlon-St,-Tampa,-FL-33604","108 W Hanlon St, Tampa, FL 33604",Tampa,FL,33604,Hillsborough,28.018614,-82.460327,Single Family,3.0,2.0,1931.0,6360.0,1932.0,GOLDSTEIN'S HILLSBOROUGH HEIGHTS,SH-RS,2024-06-21T00:00:00.000Z,310000,,Historical,True,Central,True,Central,Other,False,1.0,,False,,,False,,1.0,
"1407-E-Henry-Ave,-Tampa,-FL-33604","1407 E Henry Ave, Tampa, FL 33604",Tampa,FL,33604,Hillsborough,27.999454,-82.444868,Single Family,2.0,1.0,720.0,6600.0,1943.0,HAMPTON TERRACE,SH-RS,2024-06-21T00:00:00.000Z,142500,,,True,Central,True,Central,Concrete Block,False,1.0,,True,,Carport,False,,1.0,
"19374-Devonwood-Cir,-Fort-Myers,-FL-33967","19374 Devonwood Cir, Fort Myers, FL 33967",Fort Myers,FL,33967,Lee,26.45819,-81.79179,Single Family,3.0,2.0,2556.0,10197.0,1995.0,PINE RUN/PINE GLEN/CYPRESS CHASE,RS-1,2024-06-21T00:00:00.000Z,690000,,Ranch,True,Central,True,Forced Air,Stucco,False,1.0,,True,2.0,Attached,True,,1.0,
"17200-Anesbury-Pl,-Fort-Myers,-FL-33967","17200 Anesbury Pl, Fort Myers, FL 33967",Fort Myers,FL,33967,Lee,26.488555,-81.805319,Single Family,4.0,2.0,2049.0,8472.0,2019.0,WESTBROOK PH 2,RPD,2024-06-21T00:00:00.000Z,675000,,Colonial,True,Central,True,Forced Air,Stucco,False,2.0,,True,,Garage,False,,,
"8750-N-Sherman-Cir,-Apt-205,-Miramar,-FL-33025","8750 N Sherman Cir, Apt 205, Miramar, FL 33025",Miramar,FL,33025,Broward,25.993433,-80.25906,Condo,2.0,2.0,832.0,,1986.0,LAKESHORE AT UNIVERSITY PARK SEC 1,PUD,2024-06-21T00:00:00.000Z,240000,,Condo / Apartment,False,,False,,,False,,,False,,,False,,1.0,
"6301-Glory-Bower-Dr,-Winter-Garden,-FL-34787","6301 Glory Bower Dr, Winter Garden, FL 34787",Winter Garden,FL,34787,Orange,28.474682,-81.634954,Single Family,3.0,2.0,1714.0,8682.0,2020.0,HAMILTON GARDENS,P-D,2024-06-21T00:00:00.000Z,429000,,,True,Central,True,Forced Air,Stucco,False,2.0,,True,,Detached,False,,,
"232-S-Kimbrel-Ave,-Panama-City,-FL-32404","232 S Kimbrel Ave, Panama City, FL 32404",Panama City,FL,32404,Bay,30.140027,-85.58313,Single Family,3.0,2.0,1590.0,9191.0,1973.0,LANNIE ROWE LAKE ESTATE,,2024-06-21T00:00:00.000Z,219000,,,True,Central,True,Forced Air,Brick,False,1.0,,True,,Garage,False,,1.0,
"101-Royal-Cir,-Panama-City,-FL-32404","101 Royal Cir, Panama City, FL 32404",Panama City,FL,32404,Bay,30.145296,-85.605185,Single Family,4.0,2.0,2342.0,13286.0,1965.0,LAKEWOOD,,2024-06-21T00:00:00.000Z,264200,,,True,Central,True,Forced Air,Stucco,True,1.0,,False,,,False,,1.0,
"436-N-Anita-Dr,-Panama-City,-FL-32404","436 N Anita Dr, Panama City, FL 32404",Panama City,FL,32404,Bay,30.156355,-85.588649,Manufactured,3.0,2.0,1698.0,11413.0,2020.0,FAIRVIEW,CLWY18,2024-06-21T00:00:00.000Z,220000,,Mobile Home,True,Central,True,Forced Air,Aluminum / Vinyl Siding,False,1.0,,False,,,False,,1.0,
"11350-Nw-29th-Pl,-Sunrise,-FL-33323","11350 Nw 29th Pl, Sunrise, FL 33323",Sunrise,FL,33323,Broward,26.161439,-80.30008,Single Family,3.0,2.0,1489.0,6000.0,1975.0,SUNRISE GOLF VILLAGE SEC 24,RS-5,2024-06-21T00:00:00.000Z,500000,,,True,Central,False,,Stucco,False,1.0,Slab / Mat / Raft,True,1.0,Garage,True,,1.0,
"12758-Nw-11th-Pl,-Sunrise,-FL-33323","12758 Nw 11th Pl, Sunrise, FL 33323",Sunrise,FL,33323,Broward,26.135134,-80.319154,Single Family,4.0,2.0,1847.0,8001.0,1990.0,SAVANNAH P.U.D. PLAT 3 142-4 B,PUD,2024-06-21T00:00:00.000Z,729000,,,True,Central,False,,Stucco,False,2.0,Slab / Mat / Raft,True,2.0,Garage,True,,1.0,
"1160-Sw-71st-Ave,-Plantation,-FL-33317","1160 Sw 71st Ave, Plantation, FL 33317",Plantation,FL,33317,Broward,26.105899,-80.243008,Single Family,4.0,2.0,2103.0,16335.0,1972.0,ROYAL PALM ESTATES SEC 2 A,RS-3F,2024-06-21T00:00:00.000Z,835000,,,True,Central,False,,Stucco,False,1.0,Slab / Mat / Raft,True,,Garage,False,,1.0,
"170-Ne-171st-St,-North-Miami-Beach,-FL-33162","170 Ne 171st St, North Miami Beach, FL 33162",North Miami Beach,FL,33162,Miami-Dade,25.931671,-80.197066,Single Family,3.0,2.0,1095.0,6180.0,1954.0,JUDY MANORS 1ST ADDN,"0500:SGL FAM,1201-1400 SQ",2024-06-21T00:00:00.000Z,385000,,,False,,False,,Concrete Block,False,1.0,,False,,,False,,1.0,
"1661-Nw-111th-St,-Miami,-FL-33167","1661 Nw 111th St, Miami, FL 33167",Miami,FL,33167,Miami-Dade,25.876084,-80.225592,Single Family,3.0,1.0,1239.0,5550.0,1957.0,SEVENTEENTH AVE HGTS,"0100:SINGLE FAM,GENERAL",2024-06-21T00:00:00.000Z,465000,,,False,,False,,Stucco,False,1.0,,False,,,False,,1.0,
"1251-Nw-26th-St,-Miami,-FL-33142","1251 Nw 26th St, Miami, FL 33142",Miami,FL,33142,Miami-Dade,25.800948,-80.216451,Multi-Family,10.0,6.0,1651.0,6125.0,1932.0,WESTEND PARK AMD PLAT,"5700:DUPLEXES,GENERAL",2024-06-21T00:00:00.000Z,470000,,Duplex,False,,False,,Concrete Block,False,1.0,,False,,,False,,3.0,
"428-Nw-97th-St,-Miami,-FL-33150","428 Nw 97th St, Miami, FL 33150",Miami,FL,33150,Miami-Dade,25.864005,-80.205236,Single Family,2.0,1.0,1353.0,7000.0,1937.0,PINEWOOD PARK 2ND ADDN AMD,5100:BUNGALOW COURTS,2024-06-21T00:00:00.000Z,420000,,,False,,False,,Concrete Block,False,1.0,,False,,,False,,1.0,
"7307-S-Elliott-St,-Tampa,-FL-33616","7307 S Elliott St, Tampa, FL 33616",Tampa,FL,33616,Hillsborough,27.860339,-82.53365,Single Family,4.0,1.0,1381.0,5000.0,1970.0,PORT TAMPA CITY MAP,RS-50,2024-06-21T00:00:00.000Z,325000,,Ranch,True,Central,True,Central,Concrete Block,False,1.0,,True,,Carport,False,,1.0,
"307-Adams-Ave,-Apt-10,-Cape-Canaveral,-FL-32920","307 Adams Ave, Apt 10, Cape Canaveral, FL 32920",Cape Canaveral,FL,32920,Brevard,28.390225,-80.602512,Condo,1.0,1.0,567.0,871.0,1963.0,AVON BY THE SEA,,2024-06-21T00:00:00.000Z,155000,,Condo / Apartment,True,Commercial,True,,,False,,,False,,,False,,1.0,
"2516-Grassy-Point-Dr,-Unit-302,-Lake-Mary,-FL-32746","2516 Grassy Point Dr, Unit 302, Lake Mary, FL 32746",Lake Mary,FL,32746,Seminole,28.735563,-81.356486,Condo,1.0,1.0,701.0,824.0,1994.0,REGENCY PARK AT LAKE MARY A CONDOMINIUM,,2024-06-21T00:00:00.000Z,155600,443.0,Condo / Apartment,True,Central,True,Central,Siding,False,1.0,Footing,False,,,False,,,
"2569-Grassy-Point-Dr,-Unit-307,-Lake-Mary,-FL-32746","2569 Grassy Point Dr, Unit 307, Lake Mary, FL 32746",Lake Mary,FL,32746,Seminole,28.738669,-81.35493,Condo,1.0,1.0,648.0,741.0,1991.0,REGENCY PARK AT LAKE MARY A CONDOMINIUM,,2024-06-21T00:00:00.000Z,153000,,Condo / Apartment,True,Central,True,Central,Siding,False,1.0,Footing,False,,,False,,,
"1284-Glencrest-Dr,-Lake-Mary,-FL-32746","1284 Glencrest Dr, Lake Mary, FL 32746",Lake Mary,FL,32746,Seminole,28.76877,-81.368915,Single Family,3.0,4.0,2460.0,5931.0,1988.0,DEVON GREEN,,2024-06-21T00:00:00.000Z,676000,,,True,Central,True,Central,Stucco,True,2.0,Footing,True,2.0,Garage,False,,1.0,
"76-Winward-Ln,-Shalimar,-FL-32579","76 Winward Ln, Shalimar, FL 32579",Shalimar,FL,32579,Okaloosa,30.446202,-86.56375,Single Family,3.0,2.0,1570.0,8022.0,1983.0,PORT DIXIE,,2024-06-21T00:00:00.000Z,375000,,,True,Central,True,Forced Air,Brick,True,1.0,,True,,Garage,False,,1.0,
"2220-Se-24th-Pl,-Homestead,-FL-33035","2220 Se 24th Pl, Homestead, FL 33035",Homestead,FL,33035,Miami-Dade,25.451803,-80.440813,Condo,3.0,2.5,1452.0,,2003.0,TOWNGATE CONDO FIVE,"3000:MULTI-FAMILY,GENERAL",2024-06-21T00:00:00.000Z,205000,,Condo / Apartment,False,,False,,,False,,,False,,,False,,1.0,
"2369-Se-14th-St,-Homestead,-FL-33035","2369 Se 14th St, Homestead, FL 33035",Homestead,FL,33035,Miami-Dade,25.45639,-80.44209,Single Family,4.0,3.0,1952.0,1565.0,2018.0,KEYS GARDEN,PLANNED UNIT DEVELOPMENT,2024-06-21T00:00:00.000Z,425000,,Condo / Apartment,False,,False,,,False,2.0,,False,,,False,,,
"1398-Sw-16th-St,-Boca-Raton,-FL-33486","1398 Sw 16th St, Boca Raton, FL 33486",Boca Raton,FL,33486,Palm Beach,26.333561,-80.11368,Single Family,4.0,2.0,2166.0,9814.0,1980.0,HILLSBORO ADD N,R-1-A,2024-06-21T00:00:00.000Z,1175000,,,True,Commercial,True,Forced Air,Stucco,True,1.0,,True,,Garage,True,,1.0,
"97-Nelly-St,-Freeport,-FL-32439","97 Nelly St, Freeport, FL 32439",Freeport,FL,32439,Walton,30.487783,-86.163178,Single Family,3.0,2.0,1551.0,4487.0,2015.0,SCHOONER LANDING AT HAMMOCK,HAMBAY,2024-06-21T00:00:00.000Z,320000,,,True,Central,True,Forced Air,Vinyl,False,1.0,,True,,Garage,True,,,
"3428-Harborside-Ct,-Kissimmee,-FL-34746","3428 Harborside Ct, Kissimmee, FL 34746",Kissimmee,FL,34746,Osceola,28.192228,-81.419946,Single Family,4.0,3.0,2724.0,21562.0,2004.0,BELLALAGO,OPUD,2024-06-21T00:00:00.000Z,491900,,,True,Package,True,Package,Concrete Block,False,1.0,Footing,True,2.0,Garage,True,,1.0,
"1048-Bimini-Rd,-Jacksonville,-FL-32216","1048 Bimini Rd, Jacksonville, FL 32216",Jacksonville,FL,32216,Duval,30.299162,-81.579727,Single Family,3.0,3.0,2392.0,12633.0,1967.0,GROVE PARK UNIT 04,RLD-90,2024-06-21T00:00:00.000Z,549900,,,True,Central,True,Forced Air,Brick Veneer,True,1.0,,True,2.0,Garage,True,,1.0,
"2557-Stein-St,-Jacksonville,-FL-32216","2557 Stein St, Jacksonville, FL 32216",Jacksonville,FL,32216,Duval,30.277529,-81.598678,Single Family,2.0,1.0,1705.0,13161.0,1959.0,SANS SOUCI SEC 13,RLD-60,2024-06-21T00:00:00.000Z,124000,,,True,Central,True,Forced Air,Concrete Block,False,1.0,,False,,,False,,1.0,
"1927-Shannon-Ln,-Apopka,-FL-32703","1927 Shannon Ln, Apopka, FL 32703",Apopka,FL,32703,Orange,28.648498,-81.472752,Single Family,3.0,2.0,1338.0,5174.0,1991.0,SURREY PARK,RTF,2024-06-21T00:00:00.000Z,310000,,,True,Central,True,Forced Air,Concrete Block,False,1.0,,True,2.0,Garage,False,,1.0,
"1216-Red-Oak-Ln,-Port-Charlotte,-FL-33948","1216 Red Oak Ln, Port Charlotte, FL 33948",Port Charlotte,FL,33948,Charlotte,27.013561,-82.127677,Single Family,2.0,2.0,1364.0,5971.0,1999.0,HERITAGE OAK PARK,RMF15 MULTI-FAMILY,2024-06-21T00:00:00.000Z,285000,,,True,Commercial,True,Forced Air,Stucco,False,1.0,Footing,True,2.0,Attached,False,5.0,1.0,
"1316-Easter-St,-Jacksonville,-FL-32211","1316 Easter St, Jacksonville, FL 32211",Jacksonville,FL,32211,Duval,30.3344,-81.604411,Single Family,3.0,2.0,1344.0,7299.0,2003.0,ARLINGTON HEIGHTS 2ND S/D,RLD-60,2024-06-21T00:00:00.000Z,266800,,,True,Central,True,Forced Air,Aluminum / Vinyl Siding,False,2.0,,True,1.0,Garage,False,,1.0,
"907-Grand-Ave,-Sebring,-FL-33870","907 Grand Ave, Sebring, FL 33870",Sebring,FL,33870,Highlands,27.50233,-81.432106,Single Family,2.0,1.0,1036.0,8500.0,1925.0,HIGHLAND VIEW,R4,2024-06-21T00:00:00.000Z,197000,,,True,Central,True,Forced Air,Other,False,1.0,,False,,,False,,1.0,
"520-Se-5th-Ave,-Apt-2212,-Fort-Lauderdale,-FL-33301","520 Se 5th Ave, Apt 2212, Fort Lauderdale, FL 33301",Fort Lauderdale,FL,33301,Broward,26.115728,-80.137812,Condo,2.0,2.0,1148.0,,2001.0,LAS OLAS BY THE RIVER,RAC-CC,2024-06-21T00:00:00.000Z,435000,1060.0,Condo / Apartment,False,,False,,,False,,,False,,,False,,1.0,
"385-Gulf-Breeze-Blvd,-Venice,-FL-34293","385 Gulf Breeze Blvd, Venice, FL 34293",Venice,FL,34293,Sarasota,27.059899,-82.386657,Single Family,2.0,2.0,1480.0,9255.0,1978.0,VENICE EAST 3RD ADD,RSF2,2024-06-21T00:00:00.000Z,363000,,,True,Commercial,True,Forced Air,Stucco,False,1.0,Slab / Mat / Raft,True,,Attached,False,5.0,1.0,
"3572-Herschel-St,-Jacksonville,-FL-32205","3572 Herschel St, Jacksonville, FL 32205",Jacksonville,FL,32205,Duval,30.298559,-81.705781,Single Family,2.0,2.0,1376.0,6222.0,1924.0,ST JOHNS HEIGHTS,RLD-60,2024-06-21T00:00:00.000Z,395000,,,True,Central,True,Forced Air,Aluminum / Vinyl Siding,True,1.0,,True,2.0,Detached,False,,1.0,
"790-Andrews-Ave,-Apt-G102,-Delray-Beach,-FL-33483","790 Andrews Ave, Apt G102, Delray Beach, FL 33483",Delray Beach,FL,33483,Palm Beach,26.474334,-80.05943,Condo,3.0,3.0,2172.0,,1982.0,LANDINGS OF DELRAY BEACH,,2024-06-21T00:00:00.000Z,1675000,,Condo / Apartment,False,,False,,,False,,,False,,,False,,1.0,
